show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,min_duration,seasons,content_age,content_segment,audience_segment,release_lag,movie_id,metadata,era,genre_count,cast_count
s1,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,2021-09-24,2021,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,2021,9,88,,0,New,Teen,0,1,"Documentary Jason Sterman, Leanne Dare Apthon Corbin, Louis Gonzales  Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.",Recent,1,2
s2,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",2021-09-24,2011,G,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,2021,9,93,,10,Recent,Kids,10,2,"Comedy, Fantasy, Kids Robert Vince Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox United States, Canada The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.",Recent,3,6
s3,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,2021-09-24,2014,PG-13,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,2021,9,127,,7,Recent,Teen,7,3,"Coming of Age, Drama, Romance Josh Boone Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe United States Hazel and Gus share a love that sweeps them on an unforgettable journey.",Recent,3,6
s4,TV Show,Dog: Impossible,,Matt Beisner,United States,2021-09-22,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,2021,9,,2 Seasons,2,New,Teen,2,4,"Animals & Nature, Docuseries, Family  Matt Beisner United States Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.",Recent,3,1
s5,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,2021-09-22,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,2021,9,,,0,New,Kids,0,5,"Action-Adventure, Animation, Kids  Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino United States Spidey teams up with pals to become The Spidey Team!",Recent,3,5
s6,TV Show,Star Wars: Visions,,,,2021-09-22,2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,2021,9,,,0,New,Teen,0,6,"Action-Adventure, Animation, Anime    An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.",Recent,3,1
s7,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,2021-09-17,2009,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,2021,9,106,,12,Legacy,Family,12,7,"Comedy, Romance, Romantic Comedy P.J. Hogan Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas United States Becky writes a personal finance column en route to a high-fashion mag job.",Modern,3,6
s8,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,2021-09-17,2021,TV-G,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,2021,9,22,,0,New,Family,0,8,"Animation, Fantasy, Musical Salvador Simó Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson  Mal and Ben’s wedding is finally here!",Recent,3,6
s9,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,2021-09-17,2016,TV-G,116 min,Concert Film,Experience the magic of Disney on Broadway in an unforgettable night of music.,2021,9,116,,5,Recent,Family,5,9,"Concert Film Jay Hatcher John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White  Experience the magic of Disney on Broadway in an unforgettable night of music.",Recent,1,6
s10,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,2021-09-17,2021,TV-PG,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,2021,9,44,,0,New,Teen,0,10,Documentary Katie Bauer Murdock Devin E. Haqq  Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,Recent,1,1
s11,Movie,Jade Eyed Leopard,,Jeremy Irons,,2021-09-17,2020,TV-PG,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",2021,9,44,,1,New,Teen,1,11,"Animals & Nature, Documentary  Jeremy Irons  Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",Recent,2,1
s12,Movie,Nona,Louis Gonzales,,,2021-09-17,2021,G,9 min,"Animation, Comedy, Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,2021,9,9,,0,New,Kids,0,12,"Animation, Comedy, Family Louis Gonzales   A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.",Recent,3,1
s13,Movie,Smoky Mountain Park Rangers,,Peter Jessop,,2021-09-17,2021,TV-PG,42 min,Documentary,Park Rangers protect the wildlife in Great Smoky Mountain National Park.,2021,9,42,,0,New,Teen,0,13,Documentary  Peter Jessop  Park Rangers protect the wildlife in Great Smoky Mountain National Park.,Recent,1,1
s14,TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,2021-09-15,2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",2021,9,,16 Seasons,9,Recent,Adult,9,14,"Action-Adventure, Animals & Nature, Docuseries  Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich United States Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",Recent,3,4
